Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
11/19/2018 11:30,11/19/2018 12:00,Brooklyn,Prospect Park,"LeFrak Center at Lakeside (40.6568144, - 73.9639470)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1642034892,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47652
11/19/2018 11:30,11/19/2018 12:00,Brooklyn,Prospect Park,"Just south of the Garfield Tot Lot (40.6695019, -73.9720862)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1642034892,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47651
11/19/2018 10:45,11/19/2018 11:30,Brooklyn,Prospect Park,"North Lullwater near Terrace Bridge (40.6591937, -73.9686342)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1642034892,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47650
11/18/2018 16:00,11/18/2018 16:15,Brooklyn,Prospect Park,"Outside of the Eastwood Building front door (40.6617498, -73.9652335)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1641418800,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47599
11/18/2018 11:45,11/18/2018 11:50,Brooklyn,Marine Park,"Under the bridge to Salt Marsh Nature Trail (40.6037317, -73.9289003)",Raccoon,Public,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1644145382,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47549
11/17/2018 10:15,11/17/2018 10:30,Brooklyn,Marine Park,"Lenape Playground 40.6062944, -739271721",Raccoon,Central,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1646146762,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47449
11/17/2018 9:15,11/17/2018 9:30,Brooklyn,Prospect Park,"South side of Lake across East Drive from Peristyle; 40.6536306, -73.9683764",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1641115831,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47447 OR 47448 (see details)
11/15/2018 12:30,11/15/2018 13:15,Brooklyn,Prospect Park,Park Circle,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-11641970574,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47347
11/15/2018 8:25,11/15/2018 9:05,Brooklyn,Prospect Park,"Prospect Park Peninsula 40.656321, -73.967597",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1642034450,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47324
11/14/2018 10:15,11/14/2018 11:45,Brooklyn,Prospect Park,"Inside the Tennis Center, at the Parade Grounds",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1639509340,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47261
11/12/2018 9:00,11/12/2018 9:45,Brooklyn,Prospect Park,"Near Containers on Center Drive close to East Drive 40.662591,-73.967776",Raccoon,Public,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-164579301,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47069
11/11/2018 13:50,11/11/2018 14:00,Brooklyn,Prospect Park,"South Nethermead, path towards Wellhouse Dr. (40.6589531 - 73.9690868)",Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1641418481,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47034
11/11/2018 10:00,11/11/2018 11:35,Brooklyn,Prospect Park,"Lookout Hill, on staircase descending towards West Dr/Wellhouse (40.6570361 - 73.9719326)",Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1643195642,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47015
11/9/2018 13:06,11/9/2018 13:08,Brooklyn,Prospect Park,"40.660216, -73.96231",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1641416302,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46864
11/9/2018 12:22,11/9/2018 12:30,Brooklyn,Prospect Park,"40.665027, -73.973921",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1641416302,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46865
11/9/2018 8:30,11/9/2018 8:58,Brooklyn,Prospect Park,"40.663693, -73.971387",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1642034040,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46825
11/9/2018 8:30,11/9/2018 8:58,Brooklyn,Prospect Park,"40.659976, -73.974474",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1642034040,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46824
11/9/2018 8:30,11/9/2018 8:58,Brooklyn,Prospect Park,"40.660058, -73.976920",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1642034040,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46823
11/7/2018 10:45,11/7/2018 11:00,Brooklyn,Prospect Park,"Grecian Shelter near Parkside Ave. 40.653067,-73.967313",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1641417962,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46682
11/7/2018 9:00,11/7/2018 9:10,Brooklyn,Prospect Park,"Boathouse 40.660364,-73.965359",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1636492910,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46658
11/7/2018 8:15,11/7/2018 9:10,Brooklyn,Prospect Park,"Forestry Office near BK Shops 40.665456,-73.974320",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1636492910,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46657
11/7/2018 8:15,11/7/2018 9:10,Brooklyn,Prospect Park,"Ricks Place in Midwood  40.665766,-73.967614",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1636492910,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46656
11/6/2018 9:15,11/6/2018 9:56,Brooklyn,Prospect Park,"16th Street/West Drive 40.657669, -73.973511",Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1636492850,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46581
11/6/2018 9:15,11/6/2018 9:56,Brooklyn,Prospect Park,"Center Drive near Cemetery 40.658741, -73.972193",Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1636492850,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,86580
11/4/2018 10:30,11/4/2018 11:00,Brooklyn,Prospect Park,"Under Terrace Bridge on east side of water 40.658303,-73968269",Raccoon,Public,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1637533620,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46450
11/3/2018 12:00,11/3/2018 13:00,Brooklyn,Prospect Park,Boathouse,Raccoon,Central,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1635959663,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46389
11/3/2018 9:50,11/3/2018 10:00,Brooklyn,Prospect Park,Peninsula,Raccoon,Central,Native,Unhealthy,0.1,Adult,Small Mammals-RVS,1-1-1639597561,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46339
11/3/2018 9:00,11/3/2018 9:30,Brooklyn,Prospect Park,Vanderbilt Playground,Raccoon,Central,Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1639597561,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46338
11/2/2018 10:30,11/2/2018 10:40,Brooklyn,Prospect Park,"wellhouse drive/ west drive  40.655120,-73.971592",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1636062570,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46261
11/2/2018 9:30,11/2/2018 9:30,Brooklyn,Prospect Park,"ballfields long meadow 40.661215, -73.972752",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1636062570,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46260
11/2/2018 9:00,11/2/2018 9:00,Brooklyn,Prospect Park,"PP Garage 40.665308,-73.973678",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1636062570,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46259
11/2/2018 0:00,11/2/2018 0:00,Brooklyn,Prospect Park,"3rd street long meadow 40.665308, -73.971614",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1636062570,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46258
11/2/2018 8:30,11/2/2018 9:00,Brooklyn,Prospect Park,"Long Meadow/ Ball field 4 40.661698, -73.973029",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1636062570,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46257
11/1/2018 13:00,11/1/2018 13:10,Brooklyn,Prospect Park,Peninsula,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.1,Adult,Small Mammals-RVS,1-1-1636481431,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46194
10/31/2018 9:40,10/31/2018 9:45,Brooklyn,Prospect Park,Long Meadow near 3rd street entrance,Raccoon,Employee,Native,Unhealthy,0,Adult,Small Mammals-RVS,1-1-1636032392,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46077
10/31/2018 9:00,10/31/2018 9:30,Brooklyn,Prospect Park,Prospect Park Garage,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1636032391,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46076
10/30/2018 13:25,10/30/2018 13:30,Brooklyn,Prospect Park,Bartel Prichard Square (40.660761 - 73.978214),Raccoon,Public,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1636032340,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46014
10/29/2018 11:00,10/29/2018 12:00,Brooklyn,Prospect Park,"South Lullwater; 40.659482, -73.966999",Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1631200931,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45902
10/28/2018 11:50,10/28/2018 12:10,Brooklyn,Prospect Park,"West Drive and 16th St. (40.6575713, -73.9736110)",Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1629621430,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45790
10/25/2018 9:30,10/25/2018 10:00,Brooklyn,Prospect Park,"Prospect Park Garage 40.665188,-73.974566",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1630083931,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45478
10/17/2018 14:00,10/17/2018 14:30,Brooklyn,Prospect Park,Litchfield Villa parking lot,Raccoon,Employee,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1631115392,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44793
10/15/2018 13:15,10/15/2018 13:15,Brooklyn,Prospect Park,Lookout Hill and Center Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1629621080,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44573
10/14/2018 12:30,10/14/2018 13:30,Brooklyn,Prospect Park,Near Empire Blvd,Raccoon,Other,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1626701730,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44484
10/15/2018 9:00,10/15/2018 9:15,Brooklyn,Prospect Park,Lincoln Road Entrance,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1630819783,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44535
10/15/2018 7:58,10/15/2018 9:15,Brooklyn,Prospect Park,Parade Grounds,Raccoon,Central,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-626701740,Animal Care Center,1,FALSE,FALSE,,,TRUE,FALSE,44534
10/12/2018 10:00,10/12/2018 11:02,Brooklyn,Prospect Park,Long meadow,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1629613050,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44087
10/9/2018 17:00,10/9/2018 17:00,Brooklyn,Prospect Park,3rd Street Playground,Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,,Animal Care Center,1,FALSE,FALSE,,,TRUE,FALSE,44045
10/4/2018 10:00,10/4/2018 10:06,Brooklyn,Prospect Park,Picnic House,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,43431
10/2/2018 10:30,10/2/2018 11:00,Brooklyn,Prospect Park,Picnic House,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1622689383,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,43193
9/27/2018 8:30,9/27/2018 8:45,Brooklyn,Prospect Park,By the Picnic House on the Long Meadow,Raccoon,Employee,Native,Unhealthy,3,Adult,Small Mammals-RVS,,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,42660
4/13/2019 14:00,4/13/2019 14:30,Manhattan,Inwood Hill Park,"Southeast corner Gaelic Soccer Field 40°52'18.8""N 73°55'19.3""W",Raccoon,Central,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1705526123,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,59915
2/9/2019 13:00,2/9/2019 13:10,Manhattan,Ft Tryon Park,"40°51'38.8""N 73°55'51.3""W Inside park on lawn at base of a tree. Outside cross streets West 196th & Broadway",Raccoon,Central,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1680782134,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,54451
1/16/2019 10:00,1/16/2019 12:00,Manhattan,Central Park,79th St. Yard CPC parking lot,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-1-1668618600,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,52786
12/19/2018 13:10,12/19/2018 13:15,Manhattan,Central Park,North gate Conservatory Garden 106th St and 5th Ave.,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-1-1658891102,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,50827
9/7/2018 9:00,9/7/2018 9:00,Manhattan,Central Park,West 92nd and Jogging Path near Reservoir,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1614515962,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,40849
9/3/2018 9:30,9/3/2018 9:47,Manhattan,Central Park,Group of Bear statue/ feildman playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1611145061,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,40498
9/2/2018 9:00,9/2/2018 9:00,Manhattan,Central Park,79th st & W. Drive,Raccoon,Other,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1610698271,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,40412
8/31/2018 9:00,8/31/2018 9:30,Manhattan,Central Park,W 77st by Ladies' Pavillion,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1610274490,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,40061
8/29/2018 12:00,8/29/2018 12:28,Manhattan,Central Park,E 83rd & E. Drive - the NW corner of The Met - in a closed lawn,raccoon,Central,Native,Unhealthy,1.75,Adult,Small Mammals-RVS,1-1-1607621460,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,39840
8/29/2018 8:30,8/29/2018 8:45,Manhattan,Central Park,"Delacorte Theater, W 81st St and Central Park West",Raccoon,Other,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1608669320,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,39794
8/29/2018 8:40,8/29/2018 8:45,Manhattan,Central Park,"Great Lawn Southeast, E 81st and 5th Ave",Raccoon,Central,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1608669320,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,39793
8/28/2018 10:15,8/28/2018 10:25,Manhattan,Central Park,CP Zoo- 64th & 5th ave - inside a trash can,raccoon,Central,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1607744950,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,39704
8/26/2018 13:47,8/26/2018 13:47,Manhattan,Central Park,Delacorte Theatre,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1605102820,Animal Care Center,2,FALSE,FALSE,,,FALSE,FALSE,"39530, 39531"
8/24/2018 13:30,8/24/2018 13:45,Manhattan,Central Park,East 90th on Bridal Path,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1606672910,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,39304
8/24/2018 9:00,8/24/2018 9:09,Manhattan,Central Park,"W 79th Street Drive, west of the yard, inside garbage can by the sidewalk",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-6051904891,Animal Care Center,2,FALSE,FALSE,,,FALSE,FALSE,39257; 39258
8/23/2018 8:40,8/23/2018 8:50,Manhattan,Central Park,Rumsey Playfield,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,1-1-1607314261
8/22/2018 8:30,8/22/2018 9:45,Manhattan,Central Park,W 86th St and Central Park West,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.75,Adult,Small Mammals-RVS,1-1-1604295801,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,39000
8/22/2018 13:50,8/22/2018 14:00,Manhattan,Central Park,Lawn in front of Turtle Pond. Nearest cross street 5th Ave 79th Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1607314140,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,39050
8/21/2018 15:41,8/21/2018 15:45,Manhattan,Central Park,E 97th street transverse road,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1604778741,Animal Care Center,1,FALSE,FALSE,,,TRUE,FALSE,38927
8/21/2018 14:43,8/21/2018 14:45,Manhattan,Central Park,Oak Bridge,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1604778740,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38926
8/21/2018 8:00,8/21/2018 9:30,Manhattan,Central Park,The end of Litterary Walk near East 64th and East Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1604273583,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38879
8/21/2018 8:00,8/21/2018 8:40,Manhattan,Central Park,West Drive at West 79th. In front of the CPC Yard entrance,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1604273586,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38875
8/20/2018 13:20,8/20/2018 14:00,Manhattan,Central Park,"85th Street Transverse, East of Central Park Precinct",Raccoon,Other,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605183191,Animal Care Center,1,FALSE,FALSE,,,TRUE,FALSE,38808
8/20/2018 9:00,8/20/2018 10:00,Manhattan,Central Park,Loeb Boathouse,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.25,Adult,Small Mammals-RVS,1-1-1604583561,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38767
8/18/2018 16:00,8/18/2018 16:10,Manhattan,Central Park,Inside Delacorte Theater Seating area. Nearest Cross Street West 81st and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1605107152,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38616
8/17/2018 8:30,8/17/2018 9:30,Manhattan,Central Park,West 79th West Drive at the top steps near Shakespheare Garden,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605101944,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38474
8/17/2018 9:00,8/17/2018 9:30,Manhattan,Central Park,West 79th and West Drive across from 79th St Yard entrance and Swedish Cottage. Nearest cross street Central Park West at West 79th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605101944,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38473
8/17/2018 13:00,8/17/2018 14:00,Manhattan,Central Park,Balton Statue. East 65th and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605107061,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38513
8/16/2018 13:20,8/16/2018 13:25,Manhattan,Central Park,Loeb Boathouse,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1605148960,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38388
8/16/2018 9:30,8/16/2018 10:45,Manhattan,Central Park,Tennis House,raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184830,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38356
8/16/2018 8:00,8/16/2018 8:30,Manhattan,Central Park,Trefoil Arch under East Drive at East 71st cross street is 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184833,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38337
8/16/2018 8:00,8/16/2018 8:30,Manhattan,Central Park,Central Park Childrens Zoo entrance near Delecorte Clock/Arch. Cross Street 5th Ave and East 66th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184832,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38336
8/14/2018 8:45,8/14/2018 9:35,Manhattan,Central Park,Conservatory Gardens -Italian gardens under bench by entrance on north side,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601184603,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38145
8/14/2018 9:30,8/14/2018 9:48,Manhattan,Central Park,E 66th back entrance of the children zoo near the underpass by the clock,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1601156521,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38142
8/13/2018 9:30,8/13/2018 10:00,Manhattan,Central Park,97th & East Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1597899543,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38024
8/11/2018 15:40,8/11/2018 16:13,Manhattan,Central Park,Loeb Boathouse - back deck,raccoon,Other,Native,Unhealthy,1.25,Adult,Small Mammals-RVS,1-1-1602166956,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,37888
8/10/2018 14:10,8/10/2018 14:10,Manhattan,Central Park,Path not far from Oak Bridge. Nearest cross street West 76th and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1602446919,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,37743
8/10/2018 9:45,8/10/2018 9:50,Manhattan,Central  Park,Ramble not far from the Boathouse. Nearest cross street East 72nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601537253,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,37704
